12:10:48, 42.6%, 73.6%
12:10:50, 45.0%, 73.6%
12:10:52, 48.0%, 73.7%
12:10:54, 42.2%, 73.7%
12:10:56, 45.7%, 73.7%
12:10:58, 43.5%, 73.6%
12:11:00, 41.8%, 73.6%
12:11:02, 40.5%, 73.6%
12:11:04, 42.0%, 73.6%
12:11:06, 44.1%, 73.6%
12:11:08, 47.5%, 73.6%
12:11:10, 43.6%, 73.6%
12:11:12, 44.5%, 73.6%
12:11:14, 44.5%, 73.5%
12:11:16, 45.4%, 73.5%
12:11:18, 43.0%, 73.5%
12:11:20, 42.2%, 73.5%
12:11:22, 44.2%, 73.5%
12:11:24, 44.9%, 73.5%
12:11:26, 43.4%, 73.5%
12:11:28, 46.1%, 73.5%
12:11:30, 42.6%, 73.5%
12:11:32, 43.8%, 73.5%
12:11:34, 53.5%, 73.5%
12:11:36, 69.3%, 73.7%
12:11:38, 50.2%, 73.7%
12:11:40, 45.9%, 73.7%
12:11:42, 45.3%, 73.6%
12:11:44, 49.6%, 73.5%
12:11:46, 43.8%, 73.5%
12:11:48, 38.8%, 73.7%
12:11:50, 42.2%, 73.7%
12:11:52, 44.4%, 73.7%
12:11:54, 42.4%, 73.5%
12:11:56, 47.5%, 73.4%
12:11:58, 54.4%, 73.4%
12:12:00, 48.8%, 73.4%
12:12:02, 45.5%, 73.4%
12:12:04, 43.2%, 73.4%
12:12:06, 41.6%, 73.4%
12:12:08, 47.3%, 73.4%
12:12:10, 43.6%, 73.3%
12:12:12, 43.8%, 73.3%
12:12:14, 40.9%, 73.3%
12:12:16, 47.3%, 73.3%
12:12:18, 44.4%, 73.3%
12:12:20, 49.2%, 73.3%
12:12:22, 51.8%, 73.3%
12:12:24, 46.7%, 73.3%
12:12:26, 51.9%, 73.0%
12:12:28, 57.5%, 73.0%
12:12:30, 39.8%, 73.4%
12:12:32, 42.5%, 73.4%
12:12:34, 41.7%, 73.5%
12:12:36, 50.2%, 73.5%
12:12:38, 49.6%, 73.5%
12:12:40, 64.8%, 73.6%
12:12:42, 46.1%, 73.6%
12:12:44, 54.7%, 73.8%
12:12:46, 83.0%, 73.8%
12:12:48, 79.1%, 73.9%
12:12:50, 75.0%, 74.0%
12:12:52, 70.0%, 74.0%
12:12:54, 53.9%, 74.0%
12:12:57, 57.0%, 74.0%
12:12:59, 50.8%, 74.0%
12:13:01, 50.4%, 73.6%
12:13:03, 56.5%, 73.6%
12:13:05, 51.9%, 73.5%
12:13:07, 60.2%, 74.0%
12:13:09, 46.9%, 74.0%
12:13:11, 46.5%, 74.0%
12:13:13, 56.4%, 74.0%
12:13:15, 58.5%, 74.0%
12:13:17, 52.9%, 73.8%
12:13:19, 58.8%, 73.5%
12:13:21, 46.2%, 73.6%
12:13:23, 44.8%, 73.2%
08:32:34, 48.4%, 82.9%
08:32:36, 48.2%, 82.9%
08:32:38, 46.9%, 82.9%
08:32:40, 45.3%, 82.9%
08:32:42, 46.9%, 82.9%
08:32:44, 48.0%, 82.9%
